sentence,label
Napastnik pobił ochroniarza przed klubem.,PRZESTĘPSTWO
Złodziej ukradł samochód z parkingu.,PRZESTĘPSTWO
Bandyta zaatakował przypadkową osobę na ulicy.,PRZESTĘPSTWO
Włamywacz wszedł do domu przez okno.,PRZESTĘPSTWO
Rabuś napadł na sklep z bronią.,PRZESTĘPSTWO
Policja zatrzymała podejrzanego o kradzież.,PRZESTĘPSTWO
Mężczyzna pobił swoją żonę w domu.,PRZESTĘPSTWO
Sprawca uprowadził dziecko z przedszkola.,PRZESTĘPSTWO
Gang okradł bank w centrum miasta.,PRZESTĘPSTWO
Terrorysta zdetonował bombę w budynku.,PRZESTĘPSTWO
Przestępca zastrzelił policjanta.,PRZESTĘPSTWO
Hakerzy włamali się do systemu bankowego.,PRZESTĘPSTWO
Oszust wyłudził pieniądze od starszej osoby.,PRZESTĘPSTWO
Wandal zniszczył mienie publiczne.,PRZESTĘPSTWO
Pirat drogowy spowodował kolizję.,PRZESTĘPSTWO
Samochód uderzył w drzewo.,WYPADEK
Dwa pojazdy zderzyły się na skrzyżowaniu.,WYPADEK
Motocyklista stracił panowanie nad pojazdem.,WYPADEK
Ciężarówka przewróciła się na autostradzie.,WYPADEK
Kierowca potrącił pieszego na przejściu.,WYPADEK
Pociąg wykoleił się w tunelu.,WYPADEK
Samolot rozbił się podczas lądowania.,WYPADEK
Łódź zatonęła na jeziorze.,WYPADEK
Rowerzysta spadł z roweru na śliskiej drodze.,WYPADEK
Autobus zjechał z drogi do rowu.,WYPADEK
Statek uderzył w rafę koralową.,WYPADEK
Spadający konar drzewa uszkodził samochód.,WYPADEK
Kierowca stracił przytomność za kierownicą.,WYPADEK
Samochód wpadł do rzeki.,WYPADEK
Karetka zderzyła się z samochodem osobowym.,WYPADEK
Pożar strawił budynek mieszkalny.,POŻAR
Ogień wybuchł w fabryce chemicznej.,POŻAR
Płomienie zniszczyły las.,POŻAR
Pożar wybuchł w mieszkaniu na trzecim piętrze.,POŻAR
Podpalacz wzniecił ogień w szkole.,PRZESTĘPSTWO
Ogień objął całe piętro biurowca.,POŻAR
Pożar zniszczył magazyn z towarami.,POŻAR
Płomienie strawiły zabytkowy kościół.,POŻAR
Ogień rozprzestrzenił się na sąsiednie budynki.,POŻAR
Pożar gasiło 10 zastępów strażackich.,POŻAR
Premier ogłosił nowe przepisy.,POLITYKA
Sejm uchwalił nową ustawę.,POLITYKA
Prezydent zawetował projekt ustawy.,POLITYKA
Minister podał się do dymisji.,POLITYKA
Partia wygrała wybory parlamentarne.,POLITYKA
Kandydat rozpoczął kampanię wyborczą.,POLITYKA
Rząd przyjął budżet na przyszły rok.,POLITYKA
Opozycja skrytykowała działania rządu.,POLITYKA
Posłowie debatowali nad reformą sądownictwa.,POLITYKA
Prezydent spotkał się z liderami UE.,POLITYKA
Sportowiec zdobył złoty medal.,SPORT
Drużyna wygrała mecz w ostatniej minucie.,SPORT
Piłkarz strzelił hat-tricka.,SPORT
Tenisista wygrał turniej wielkoszlemowy.,SPORT
Rekord świata został pobity.,SPORT
Trener został zwolniony po słabych wynikach.,SPORT
Sędzia odgwizdał kontrowersyjny faul.,SPORT
Zawodnik doznał kontuzji podczas treningu.,SPORT
