sentence,label
Ława przysięgłych ogłosiła werdykt.,PRAWO
Muzyk wydał nowy album.,KULTURA
Demonstranci żądali dymisji rządu.,PROTESTY
Nauczyciel otrzymał nagrodę pedagogiczną.,EDUKACJA
Trybunał rozstrzygnął spór kompetencyjny.,PRAWO
Tornado zniszczyło gospodarstwa.,KLĘSKA_ŻYWIOŁOWA
Muzeum otworzyło wystawę sztuki.,KULTURA
Lekarze uratowali życie dziecka.,MEDYCYNA
Uczeń zdobył nagrodę w konkursie.,EDUKACJA
Pożar wybuchł w kamienicy przy rynku.,POŻAR
Wąż jadowity ukąsił wędkarza.,WYPADEK
Tenisista wygrał turniej wielkoszlemowy.,SPORT
Firma buduje halę widowiskowo-sportową.,INFRASTRUKTURA
Miasto zakazuje plastikowych toreb.,EKOLOGIA
Firma buduje elektrownię wiatrową.,INFRASTRUKTURA
Parlament odrzucił propozycję opozycji.,POLITYKA
Rabuś napadł na sklep z bronią.,PRZESTĘPSTWO
Organizacja charytatywna pomogła potrzebującym.,SPOŁECZEŃSTWO
Niedźwiedź zaatakował turystę w lesie.,WYPADEK
Ogień objął budynek biurowy.,POŻAR
Giełda odnotowała spadki indeksów.,EKONOMIA
Prawnik sporządził umowę dla klienta.,PRAWO
Siatkarze wygrali trzeciego seta.,SPORT
Szkoła wprowadza zajęcia programowania.,EDUKACJA
Na ulicy rosną kasztany.,BRAK_ZDARZENIA
Droga została zamknięta z powodu robót.,INFRASTRUKTURA
Uniwersytet przyjął rekordową liczbę studentów.,EDUKACJA
Inwestor konstruuje osiedle mieszkaniowe.,INFRASTRUKTURA
Rada gminy odrzuciła uchwałę.,ADMINISTRACJA
Pojazd uderzył w przystanek autobusowy.,WYPADEK
Motocykl przewrócił się na mokrej drodze.,WYPADEK
Kurs euro osiągnął najwyższy poziom.,EKONOMIA
Budynek jest dobrze oświetlony.,BRAK_ZDARZENIA
Trybunał wydał nakaz aresztowania.,PRAWO
Oblodzenie sparaliżowało ruch drogowy.,KLĘSKA_ŻYWIOŁOWA
W szufladzie są dokumenty.,BRAK_ZDARZENIA
Mróz zniszczył plantacje.,KLĘSKA_ŻYWIOŁOWA
Prezydent rozpoczął konsultacje z partiami.,POLITYKA
Teatr wystawił klasyczną sztukę.,KULTURA
Skoczek narciarski zajął trzecie miejsce.,SPORT
Wolontariusze pomagają w schronisku.,SPOŁECZEŃSTWO
Płonący śmietnik zapalił samochód.,POŻAR
Drużyna wygrała mecz w ostatniej minucie.,SPORT
Aktywiści protestują przeciwko kopalni.,EKOLOGIA
Organizacja wspiera bioróżnorodność.,EKOLOGIA
Samochód uderzył w budynek mieszkalny.,WYPADEK
Trybunał orzekł niekonstytucyjność ustawy.,PRAWO
Pożar strawił budynek mieszkalny.,POŻAR
Oblodzenie zablokowało drogi.,KLĘSKA_ŻYWIOŁOWA
Na balkonie rosną rośliny.,BRAK_ZDARZENIA
Urząd miejski wydał pozwolenie na budowę.,ADMINISTRACJA
Minister zdrowia zapowiedział reformę.,POLITYKA
Manifestanci zablokowali ulicę.,PROTESTY
Pirat drogowy spowodował kolizję.,PRZESTĘPSTWO
Burza zniszczyła linie energetyczne.,KLĘSKA_ŻYWIOŁOWA
Budynek znajduje się blisko centrum.,BRAK_ZDARZENIA
Świadek zeznawał przed sądem.,PRAWO
Galeria kupiła dzieło sztuki.,KULTURA
Protest przeciw dyskryminacji.,PROTESTY
Przedsiębiorstwo zainwestowało w robotyzację.,EKONOMIA
Kurs dolara osiągnął szczyt.,EKONOMIA
Parlament wybrał nowego marszałka.,POLITYKA
Szkoła mieści się w starym budynku.,BRAK_ZDARZENIA
Samochód wpadł do rzeki.,WYPADEK
Władze otwierają obwodnicę miasta.,INFRASTRUKTURA
Opera wystawiła premierę.,KULTURA
Firma buduje park przemysłowy.,INFRASTRUKTURA
Strajk pracowników ochrony zdrowia.,PROTESTY
Nauczyciele strajkują o wyższe płace.,PROTESTY
Prokurator umorzył postępowanie.,PRAWO
Służby specjalne przeprowadziły operację.,BEZPIECZEŃSTWO
Tenisista przegrał w trzecim secie.,SPORT
Przedsiębiorstwo otworzyło nową fabrykę.,EKONOMIA
Gmina rozbudowuje wodociągi.,INFRASTRUKTURA
Pożar wybuchł w mieszkaniu na trzecim piętrze.,POŻAR
Inwestor konstruuje biurowiec.,INFRASTRUKTURA
Gmina otrzymała dotację.,ADMINISTRACJA
Pożar zniszczył hale magazynową.,POŻAR
Kot siedzi na parapecie.,BRAK_ZDARZENIA
Kierowca nie ustąpił pierwszeństwa.,WYPADEK
Park ma dużą fontannę.,BRAK_ZDARZENIA
Naukowcy testują komputer kwantowy.,TECHNOLOGIA
Zwrot pieniędzy został zrealizowany.,EKONOMIA
Firma tech zwolniła tysiące pracowników.,EKONOMIA
Uczeń przygotowuje projekt naukowy.,EDUKACJA
Wolontariusze pomagali bezdomnym.,SPOŁECZEŃSTWO
Wulkan wybuchł po latach uśpienia.,KLĘSKA_ŻYWIOŁOWA
Koncert rockowy zgromadził fanów.,KULTURA
W bibliotece jest dużo książek.,BRAK_ZDARZENIA
Prezydent spotkał się z kanclerzem.,POLITYKA
Złodzieje ukradli towar ze sklepu.,PRZESTĘPSTWO
Protest przeciwko reformie zebrał tysiące osób.,PROTESTY
Sędzia skazał przestępcę na karę więzienia.,PRAWO
Burza zniszczyła uprawy.,KLĘSKA_ŻYWIOŁOWA
Urząd miejski wydał zaświadczenie.,ADMINISTRACJA
